kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
S,Sx_10_26_combined,Sx_10_26,10,train,,combined,native,True,135,21.517733393236995,,,13243
S,Sx_10_26_combined,Sx_10_26,10,train,,combined,best,True,135,26.221480968408287,,,13243
S,Sx_10_34_normal,Sx_10_34,10,train,,normal,native,True,135,21.329801010899246,,,13251
S,Sx_10_34_normal,Sx_10_34,10,train,,normal,best,False,300,49.76510217227042,,,13251
S,Sx_10_34_camera,Sx_10_34,10,train,,camera,native,True,130,20.92924782820046,,,13251
S,Sx_10_34_camera,Sx_10_34,10,train,,camera,best,True,235,40.27244315482676,,,13251
S,Sx_10_34_lighting,Sx_10_34,10,train,,lighting,native,True,135,21.4859366863966,,,13251
S,Sx_10_34_lighting,Sx_10_34,10,train,,lighting,best,True,125,24.498661812394857,,,13251
S,Sx_10_34_combined,Sx_10_34,10,train,,combined,native,True,140,22.042339545674622,,,13251
S,Sx_10_34_combined,Sx_10_34,10,train,,combined,best,True,150,28.1506609050557,,,13251
S,Sx_10_44_normal,Sx_10_44,10,train,,normal,native,True,135,21.399118187837303,,,13261
S,Sx_10_44_normal,Sx_10_44,10,train,,normal,best,True,150,27.91448000073433,,,13261
S,Sx_10_44_camera,Sx_10_44,10,train,,camera,native,False,300,39.246144166216254,,,13261
S,Sx_10_44_camera,Sx_10_44,10,train,,camera,best,True,210,36.53064190596342,,,13261
S,Sx_10_44_lighting,Sx_10_44,10,train,,lighting,native,True,120,19.825634194537997,,,13261
S,Sx_10_44_lighting,Sx_10_44,10,train,,lighting,best,True,140,26.596907997503877,,,13261
S,Sx_10_44_combined,Sx_10_44,10,train,,combined,native,False,300,39.09027134999633,,,13261
S,Sx_10_44_combined,Sx_10_44,10,train,,combined,best,True,210,36.886671582236886,,,13261
S,Sx_15_22_normal,Sx_15_22,15,train,,normal,native,True,85,16.309654269367456,,,18239
S,Sx_15_22_normal,Sx_15_22,15,train,,normal,best,True,100,21.63916594814509,,,18239
S,Sx_15_22_camera,Sx_15_22,15,train,,camera,native,True,85,16.252099390141666,,,18239
S,Sx_15_22_camera,Sx_15_22,15,train,,camera,best,True,95,20.424962433986366,,,18239
S,Sx_15_22_lighting,Sx_15_22,15,train,,lighting,native,True,85,16.204500272870064,,,18239
S,Sx_15_22_lighting,Sx_15_22,15,train,,lighting,best,True,100,21.3425058927387,,,18239
S,Sx_15_22_combined,Sx_15_22,15,train,,combined,native,True,90,16.838186295703053,,,18239
S,Sx_15_22_combined,Sx_15_22,15,train,,combined,best,True,100,20.95307311974466,,,18239
S,Sx_15_26_normal,Sx_15_26,15,train,,normal,native,True,90,16.69293875526637,,,18243
S,Sx_15_26_normal,Sx_15_26,15,train,,normal,best,True,95,20.743941148743033,,,18243
S,Sx_15_26_camera,Sx_15_26,15,train,,camera,native,True,85,16.24456355161965,,,18243
S,Sx_15_26_camera,Sx_15_26,15,train,,camera,best,True,90,19.5034524705261,,,18243
S,Sx_15_26_lighting,Sx_15_26,15,train,,lighting,native,True,90,16.775812162086368,,,18243
S,Sx_15_26_lighting,Sx_15_26,15,train,,lighting,best,True,95,20.3347392892465,,,18243
S,Sx_15_26_combined,Sx_15_26,15,train,,combined,native,True,75,15.152001376263797,,,18243
S,Sx_15_26_combined,Sx_15_26,15,train,,combined,best,True,90,19.804692965000868,,,18243
S,Sx_15_34_normal,Sx_15_34,15,train,,normal,native,True,90,16.738048376515508,,,18251
S,Sx_15_34_normal,Sx_15_34,15,train,,normal,best,True,90,19.710379398427904,,,18251
S,Sx_15_34_camera,Sx_15_34,15,train,,camera,native,True,90,16.67312370892614,,,18251
S,Sx_15_34_camera,Sx_15_34,15,train,,camera,best,True,90,20.092973358929157,,,18251
S,Sx_15_34_lighting,Sx_15_34,15,train,,lighting,native,True,90,16.72379525564611,,,18251
S,Sx_15_34_lighting,Sx_15_34,15,train,,lighting,best,True,90,19.809700715355575,,,18251
S,Sx_15_34_combined,Sx_15_34,15,train,,combined,native,True,90,16.923176415264606,,,18251
S,Sx_15_34_combined,Sx_15_34,15,train,,combined,best,True,95,20.635323552414775,,,18251
S,Sx_15_44_normal,Sx_15_44,15,train,,normal,native,True,80,15.758492034859955,,,18261
S,Sx_15_44_normal,Sx_15_44,15,train,,normal,best,True,85,19.037005592137575,,,18261
S,Sx_15_44_camera,Sx_15_44,15,train,,camera,native,True,80,15.747053191065788,,,18261
S,Sx_15_44_camera,Sx_15_44,15,train,,camera,best,True,85,19.041427434422076,,,18261
S,Sx_15_44_lighting,Sx_15_44,15,train,,lighting,native,True,80,15.63498405739665,,,18261
S,Sx_15_44_lighting,Sx_15_44,15,train,,lighting,best,True,90,19.811622178182006,,,18261
S,Sx_15_44_combined,Sx_15_44,15,train,,combined,native,True,80,15.74239435698837,,,18261
S,Sx_15_44_combined,Sx_15_44,15,train,,combined,best,True,85,19.03735400084406,,,18261
